model,setting,quantity,coeff,n_steps,first,last,rms,max_abs,endpoint,rms_of_production_signal,rms_change_over_production_rms,max_change_over_production_max
SST,cap1600,P,CD,38,2,39,1.6213e-06,3.6526e-06,3.0618e-08,,,
SST,cap1600,P,CDp,38,2,39,1.6187e-06,3.6230e-06,7.5436e-08,,,
SST,cap1600,P,CDv,38,2,39,1.8193e-08,4.4952e-08,-4.4952e-08,,,
SST,cap1600 - production,GP2,CL,38,2,39,6.1744e-06,1.3551e-05,-8.0065e-06,1.6534e-04,0.037,0.034
SST,cap1600 - production,GP2,CD,38,2,39,6.1471e-07,1.5461e-06,-7.3941e-07,5.4494e-05,0.011,0.018
SST,cap1600 - production,GP2,CDp,38,2,39,7.2612e-07,1.8351e-06,-6.4663e-07,5.5247e-05,0.013,0.021
SST,cap1600 - production,GP2,CDv,38,2,39,2.0382e-07,3.7229e-07,-9.2768e-08,8.1146e-07,0.251,0.255
SST,cap1600 - production,NN2,CL,38,2,39,6.0004e-06,1.3805e-05,-6.9360e-06,1.6540e-04,0.036,0.036
SST,cap1600 - production,NN2,CD,38,2,39,5.7343e-07,1.3357e-06,-6.8166e-07,5.5120e-05,0.010,0.015
SST,cap1600 - production,NN2,CDp,38,2,39,6.9920e-07,1.6420e-06,-5.6971e-07,5.5861e-05,0.013,0.018
SST,cap1600 - production,NN2,CDv,38,2,39,2.0719e-07,3.7987e-07,-1.1241e-07,8.0241e-07,0.258,0.256
SST,cap1600 - production,P,CL,38,2,39,8.1872e-07,2.2582e-06,1.0705e-06,5.9760e-06,0.137,0.124
SST,cap1600 - production,P,CD,38,2,39,9.5874e-08,2.6040e-07,5.7745e-08,1.5877e-06,0.060,0.072
SST,cap1600 - production,P,CDp,38,2,39,9.6319e-08,2.8537e-07,7.6920e-08,1.5845e-06,0.061,0.080
SST,cap1600 - production,P,CDv,38,2,39,9.4598e-09,2.4150e-08,-1.9645e-08,1.4955e-08,0.633,0.764
